Filename,Frame,Technique,Method,IoU,Intersection Area,Union Area
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_100_G0,10,N2N_ZS,avg_min_intensity,0.38638405054839203,57343.742730693964,148411.25726930605
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_125_GP10,10,N2N_ZS,q1,0.6789808844789385,103887.8866694317,153005.61333056827
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW188/WW188_125_GP10,10,N2N_ZS,avg_min_intensity,0.40203922138861004,61846.21146700994,153831.28853299006
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_100_G0,10,N2N_ZS,q1,0.8592909623965201,121132.97742827398,140968.52257172597
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_100_G0,10,N2N_ZS,avg_min_intensity,0.9188723284026138,129555.4922198045,140994.0077801955
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_175_G0,10,N2N_ZS,q1,0.7150289621753986,101726.2655463796,142268.73445362045
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_175_G0,10,N2N_ZS,avg_min_intensity,0.8443024490781946,120194.94396297188,142360.05603702815
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_125_GP10,10,N2N_ZS,q1,0.7161127268478458,104783.4443359375,146322.5556640625
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_125_GP10,10,N2N_ZS,avg_min_intensity,0.9663133593165564,143971.50537109375,148990.49462890625
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_150_G0,10,N2N_ZS,q1,0.813847020016865,112604.15470601454,138360.34529398545
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_150_G0,10,N2N_ZS,avg_min_intensity,0.9576222120481495,132533.73320395988,138398.7667960401
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_125_G0,10,N2N_ZS,q1,0.688161601736319,93319.31414448502,135606.68585551498
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW174/WW174_125_G0,10,N2N_ZS,avg_min_intensity,0.8762352543938652,118987.7282511144,135794.27174888557
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_125_GP10,10,N2N_ZS,q1,0.7186461627101159,95521.00619970732,132917.9938002927
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_125_GP10,10,N2N_ZS,avg_min_intensity,0.5859298718769154,83735.88897352823,142911.11102647177
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_100_G0,10,N2N_ZS,q1,0.7398655596444242,92215.63423780951,124638.36576219049
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_100_G0,10,N2N_ZS,avg_min_intensity,0.6117261875798623,76184.99449496047,124541.00550503952
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_175_G0,10,N2N_ZS,q1,0.6892871852618248,95929.07784565419,139171.4221543458
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_175_G0,10,N2N_ZS,avg_min_intensity,0.6266309312530746,84848.3983269004,135404.1016730996
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_150_G0,10,N2N_ZS,q1,0.8606183533457904,113149.66016510707,131474.83983489292
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_150_G0,10,N2N_ZS,avg_min_intensity,0.8888394328360518,116860.79291613842,131475.7070838616
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_125_G0,10,N2N_ZS,q1,0.725499311579896,100055.87630126516,137913.12369873482
/Users/aarjavjain/Desktop/Education/Y4/PRJ/data/WW192/WW192_125_G0,10,N2N_ZS,avg_min_intensity,0.6903633591277676,90811.45965642866,131541.54034357134
